M,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,U,V,W
260,1.776092343514848e-15,1.8598702842466804e-15,3.2673396885414656e-15,3.4684067462978636e-15,2.19498204717401e-15,0.49999999999963,3.706671209739195e-13,0.49999999999963685,3.4973939137910774e-13
265,3.4848663160586474e-15,3.93722877054703e-15,1.0404336453232789e-14,7.958228365999316e-15,6.919470137174142e-15,0.49999999999970657,3.017927738036751e-13,0.49999999999961203,3.4686147760270284e-13
270,5.746208255119268e-15,5.930488986333006e-15,1.4440908209658337e-14,1.4976997609552847e-14,9.917653898048418e-15,0.49999999999948624,4.4482017956246887e-13,0.49999999999955613,4.617405012466393e-13
275,5.527985645299511e-16,3.51780904700878e-16,5.0254414957268277e-17,6.700588660969105e-16,1.0050882991453655e-16,0.49999999999982075,1.7845342751325967e-13,0.49999999999984024,1.5883745420827263e-13
280,1.6080188261964814e-15,1.021761962479014e-15,3.3500392212426694e-15,4.1037980460222696e-15,2.847533338056269e-15,0.4999999999998718,1.0797176410065122e-13,0.4999999999998718,1.3549233630315977e-13
285,5.543907311932307e-15,5.259174912225815e-15,1.1841518034852392e-14,1.1456291847014196e-14,8.056252015224894e-15,0.49999999999911865,8.501606986295228e-13,0.49999999999904216,9.46986463494419e-13
290,5.459774700100337e-15,5.426279149792972e-15,1.1823929258499501e-14,1.1187513802659583e-14,7.787715446462136e-15,0.49999999999910016,8.815693885395138e-13,0.4999999999991001,8.76394326017026e-13
295,3.784737339554294e-15,3.8014839649505515e-15,9.126910840960576e-15,9.646056228244572e-15,7.06707591722085e-15,0.49999999999955674,4.872095726533322e-13,0.4999999999995358,3.869307797805397e-13
300,5.023654037025133e-16,4.856198902457628e-16,3.3491026913500894e-16,5.0236540370251334e-17,3.349102691350089e-17,0.4999999999998524,1.9779800495113624e-13,0.4999999999998524,9.595179210718004e-14
305,1.674443750003262e-16,1.674443750003262e-17,5.023331250009785e-16,3.348887500006524e-16,4.1861093750081553e-16,0.49999999999991884,2.491572300004854e-14,0.5000000000000308,2.4212456625047168e-14
310,3.3989093490711742e-15,2.980324453865365e-15,6.061109282580125e-15,8.154033758609173e-15,4.704894222113301e-15,0.49999999999939554,5.182248436606006e-13,0.499999999999479,5.820841552731989e-13
315,2.4276460812776117e-15,2.2267374400684298e-15,4.6208987478111784e-15,5.9602896892057225e-15,4.185596691857951e-15,0.4999999999996244,3.4341983737356114e-13,0.49999999999956224,4.5038694643068296e-13
320,1.8415549754913195e-15,1.6741408868102903e-15,4.1351279904214176e-15,3.4152474090929923e-15,2.3940214681387154e-15,0.49999999999970807,2.7233249805742994e-13,0.49999999999977124,2.349824148726923e-13
325,3.281130295566769e-15,3.816825037700119e-15,8.001940210616916e-15,7.68387145747524e-15,5.223023735800163e-15,0.4999999999993458,6.4012173592797e-13,0.4999999999993458,6.4012173592797e-13
330,1.2554655675849716e-15,1.422860976596301e-15,3.5822617528424524e-15,3.2139918530175275e-15,2.644847462379007e-15,0.4999999999997977,2.1396481179828145e-13,0.4999999999998628,1.1346060822787918e-13
335,3.0296953320263777e-15,2.5442745329724277e-15,6.176561201755433e-15,6.34394768418783e-15,4.636605563377385e-15,0.4999999999996213,2.9108509294993764e-13,0.4999999999997019,3.6289389391343573e-13
340,4.904169989764578e-15,5.054810023579873e-15,1.1766660419127982e-14,1.0293735644045104e-14,7.799806195325235e-15,0.49999999999918915,7.300350794319858e-13,0.4999999999991892,8.517187511916734e-13
345,2.878753621223503e-15,3.1967554747307503e-15,7.129936294425652e-15,7.347516509983244e-15,4.652869225000778e-15,0.4999999999996513,3.684637265769501e-13,0.4999999999996175,3.375003882091392e-13
350,9.539589292247407e-16,3.849307960029656e-16,1.1715285095742433e-16,1.5899315487079015e-15,6.861809841791996e-16,0.4999999999998535,1.6185503165846434e-13,0.4999999999998535,1.2731167674758954e-13
