M,X,Y_{cj},Y_{rj},T,U,V,W
385,1.5639965165457773e-15,0.49999999999987876,0.5000000000001171,0.0,1.2909177596885783e-15,0.0,1.2909177596885783e-15
390,9.930136612989089e-17,0.500000000000046,0.499999999999954,0.0,7.447602459741818e-17,0.0,7.447602459741818e-17
395,8.93712295169017e-16,0.5000000000001076,0.499999999999889,0.0,1.2660924181561074e-15,0.0,1.2660924181561074e-15
400,1.3483144783353426e-15,0.499999999999847,0.5000000000001517,2.9951154758653854e-32,5.768458519663856e-18,2.1203201633503404e-34,7.147872513496516e-18
405,7.695855875066557e-16,0.5000000000000975,0.499999999999901,0.0,3.227294399221459e-16,0.0,3.227294399221459e-16
410,1.9860273225978183e-16,0.4999999999999588,0.5000000000000393,0.0,7.447602459741818e-16,0.0,7.447602459741818e-16
415,1.2412670766236353e-16,0.49999999999993494,0.5000000000000646,0.0,1.2412670766236353e-16,0.0,1.2412670766236353e-16
420,9.630056537084336e-16,0.5000000000000645,0.4999999999999346,3.245213273692397e-32,1.1285222504395705e-18,1.788020338677772e-34,6.269568057997616e-19
425,6.419918283617195e-16,0.49999999999993344,0.5000000000000661,7.748885214264057e-32,5.517117274983526e-18,8.090274873572569e-35,4.514005043168341e-18
430,3.209900824628788e-16,0.5000000000001028,0.4999999999998969,7.356020282723063e-33,7.523205057723723e-19,2.774285043220319e-34,2.0061880153929926e-18
435,5.777718923752798e-16,0.4999999999999041,0.5000000000000954,4.367848690571533e-32,2.5076905051010405e-19,2.3450887691026786e-35,3.761535757651561e-19
440,1.4895204919483628e-16,0.5000000000001333,0.49999999999986616,0.0,1.2412670766236356e-16,0.0,1.2412670766236356e-16
445,1.0271147925863033e-15,0.5000000000000772,0.4999999999999218,6.305472102509944e-32,6.269011185219137e-19,1.4012449957348095e-34,1.5045626844525925e-18
450,4.965068306494546e-17,0.5000000000000322,0.4999999999999674,0.0,1.2412670766236363e-16,0.0,1.2412670766236363e-16
455,2.234280737922541e-16,0.5000000000001432,0.499999999999855,0.0,7.69585587506653e-16,0.0,7.69585587506653e-16
460,3.7238012298709023e-16,0.50000000000014,0.4999999999998586,0.0,4.965068306494537e-16,0.0,4.965068306494537e-16
465,1.1171403689612696e-15,0.5000000000001416,0.49999999999985734,0.0,7.447602459741798e-17,0.0,7.447602459741798e-17
470,2.5675831246954515e-16,0.5000000000000462,0.4999999999999534,9.136884912821532e-32,3.1342567440130017e-18,4.366378712039769e-35,2.2566648556893615e-18
475,4.468561475845087e-16,0.49999999999990075,0.5000000000000969,0.0,9.930136612989085e-16,0.0,9.930136612989085e-16
480,3.723801229870904e-16,0.5000000000000384,0.49999999999996053,0.0,2.482534153247269e-16,0.0,2.482534153247269e-16
485,3.4755478145461743e-16,0.49999999999978645,0.5000000000002123,0.0,4.2203080605203543e-16,0.0,4.2203080605203543e-16
490,7.060446250828689e-16,0.500000000000005,0.49999999999999434,2.1688854268696677e-32,5.8920627448321804e-18,1.7165979404791754e-35,6.644240967576714e-18
495,7.199349044417081e-16,0.5000000000001381,0.4999999999998603,0.0,5.213321721819265e-16,0.0,5.213321721819265e-16
