M,X,Y_{cj},Y_{rj},Z,T,V
375,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
380,0.14285714285714282,0.21428571428571405,0.21428571428571444,0.28571428571428575,0.07142857142857141,0.07142857142857141
385,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.28571428571428564,0.07142857142857138,0.07142857142857138
390,0.14285714285714285,0.21428571428571405,0.21428571428571436,0.2857142857142859,0.0714285714285714,0.0714285714285714
395,0.1428571428571431,0.21428571428571427,0.21428571428571436,0.2857142857142855,0.07142857142857142,0.07142857142857142
400,0.14285714285714338,0.21428571428571389,0.21428571428571436,0.28571428571428525,0.07142857142857162,0.07142857142857162
405,0.14285714285714285,0.21428571428571405,0.21428571428571436,0.2857142857142859,0.0714285714285714,0.0714285714285714
410,0.14285714285714307,0.21428571428571386,0.2142857142857143,0.28571428571428586,0.07142857142857141,0.07142857142857141
415,0.14285714285714304,0.21428571428571408,0.21428571428571444,0.2857142857142856,0.07142857142857151,0.07142857142857151
420,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
425,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
430,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
435,0.14285714285714293,0.2142857142857142,0.2142857142857142,0.2857142857142858,0.07142857142857145,0.07142857142857145
440,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
445,0.14285714285714293,0.2142857142857142,0.2142857142857142,0.2857142857142858,0.07142857142857145,0.07142857142857145
450,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
455,0.14285714285714293,0.2142857142857142,0.2142857142857142,0.2857142857142858,0.07142857142857145,0.07142857142857145
460,0.1428571428571428,0.21428571428571438,0.21428571428571438,0.2857142857142857,0.07142857142857137,0.07142857142857137
465,0.14285714285714282,0.21428571428571405,0.21428571428571444,0.28571428571428575,0.07142857142857141,0.07142857142857141
470,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.28571428571428564,0.07142857142857138,0.07142857142857138
475,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
480,0.14285714285714285,0.21428571428571405,0.21428571428571436,0.2857142857142859,0.0714285714285714,0.0714285714285714
485,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
490,0.14285714285714282,0.21428571428571405,0.21428571428571444,0.28571428571428575,0.07142857142857141,0.07142857142857141
495,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
500,0.14285714285714282,0.21428571428571405,0.21428571428571444,0.28571428571428575,0.07142857142857141,0.07142857142857141
