M,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,U,V,W
255,0.047778592555703006,0.0608672144700355,0.24522619052584543,0.22990772677089738,0.15837797243224727,0.015846061160330334,0.12079439474624094,0.02638255554353286,0.0948192917951673
260,0.0477731644437598,0.06086377185027834,0.24522912307095604,0.22990099248362908,0.158376705184862,0.015845775774539855,0.12080536535008589,0.02638260877072166,0.09482249307116726
265,0.047767939107716754,0.06086045760733781,0.24523194768046608,0.22989450805455688,0.1583754852450083,0.01584550109718498,0.12081592699880338,0.02638265991969435,0.09482557428923147
270,0.047762905386789026,0.06085726468766688,0.24523467020832032,0.22988825982359104,0.15837431001063695,0.015845236536295076,0.12082610215449129,0.02638270910971953,0.09482854208248995
275,0.047758052930819014,0.06085418654916884,0.24523729608930042,0.22988223511640732,0.15837317706856854,0.015844981543077365,0.12083591165103517,0.026382756451061612,0.09483140260056158
280,0.04775337213116212,0.060851217117684604,0.24523983037416175,0.22987642216105847,0.1583720841784072,0.01584473560821339,0.12084537483258684,0.02638280204577954,0.09483416155094601
285,0.047748854022360614,0.060848350724893835,0.2452422777808802,0.2298708099679416,0.15837102924960697,0.01584449825664,0.1208545097513111,0.02638284598880338,0.09483682425756228
290,0.047744490284396604,0.06084558210998466,0.24524464269170523,0.22986538833446077,0.15837001034205542,0.01584426904760922,0.12086333316187227,0.026382888368000908,0.0948393956599149
295,0.047740273122101176,0.060842906343379084,0.24524692921694077,0.22986014769683638,0.15836902563792496,0.015844047568315214,0.1208718607644391,0.02638292926545025,0.09484188038461298
300,0.04773619528133485,0.060840318837173474,0.2452491411848373,0.2298550791516658,0.1583680734455003,0.015843833434694945,0.12088010717123239,0.02638296875734214,0.09484428273621881
305,0.04773224997118974,0.06083781529596507,0.24525128218254863,0.22985017436051544,0.15836715218102143,0.015843626287314394,0.12088808606318507,0.026383006914817583,0.09484660674344289
310,0.04772843083650468,0.060835391699550614,0.2452533555699845,0.2298454255168974,0.15836626036229356,0.01584342578988875,0.12089581024495676,0.026383043804282243,0.0948488561756416
315,0.04772473190855175,0.060833044271776264,0.2452553645056152,0.2298408252859549,0.15836539659718993,0.015843231626668577,0.1209032917441512,0.026383079487948616,0.09485103457214379
320,0.04772114760614394,0.06083076948135372,0.24525731194502765,0.22983636680675765,0.15836455958392853,0.015843043502468478,0.12091054180861757,0.026383114023861707,0.0948531452418409
325,0.047717672686058296,0.06082856401051546,0.24525920066707432,0.22983204363145704,0.1583637480995098,0.015842861140046842,0.12091757100630497,0.026383147466425887,0.09485519129260744
330,0.04771430220778368,0.0608264247327276,0.24526103329235963,0.22982784968214354,0.1583629609915011,0.015842684278231246,0.12092438929621262,0.026383179866782753,0.09485717565225785
335,0.04771103154154107,0.060824348717873115,0.24526281227826288,0.22982377926148626,0.15836219717991656,0.015842512672323193,0.12093100601183186,0.02638321127276654,0.09485910106399871
340,0.04770785631838966,0.0608223332006663,0.24526453994550834,0.22981982699122988,0.15836145564557919,0.015842346091465863,0.12093742996177716,0.02638324172941665,0.09486097011596696
345,0.04770477240916661,0.06082037556733955,0.24526621848914856,0.22981598778649673,0.15836073542521506,0.01584218431752007,0.12094366947214134,0.02638327127920504,0.0948627852537672
350,0.0477017759467638,0.060818473369860536,0.24526784996597736,0.22981225688400514,0.1583600356166606,0.01584202714622244,0.12094973234116996,0.026383299961848985,0.09486454876749126
355,0.04769886324706836,0.060816624275800306,0.2452694363371671,0.22980862974406416,0.15835935536041082,0.01584187438302704,0.12095562599900668,0.026383327815091017,0.09486626283836451
360,0.04769603086008442,0.060814826100835294,0.2452709794400685,0.2298051021146129,0.1583586938515602,0.015841725845773966,0.12096135740406529,0.026383354874229808,0.09486792950876964
365,0.04769327549798296,0.06081307676311321,0.24527248102706875,0.22980166994197412,0.1583580503230152,0.015841581360907173,0.12096693318843348,0.02638338117282506,0.09486955072467997
370,0.047690594071680976,0.06081137430653213,0.24527394274535994,0.22979832941673073,0.15835742405403025,0.01584144076538498,0.12097235958368976,0.026383406742368835,0.09487112831422227
375,0.04768798364050828,0.060809716868804514,0.24527536616409998,0.22979507691132114,0.15835681435847343,0.01584130390402895,0.12097764252261362,0.026383431612776183,0.09487266401737393
380,0.047685441412522164,0.0608081026817062,0.24527675277399877,0.22979190898067062,0.15835622058489005,0.015841170629537826,0.1209827876384286,0.02638345581240006,0.09487415948584575
385,0.047682964766529536,0.060806530085085075,0.24527810397507796,0.2297888223898996,0.15835564212165965,0.015841040803633258,0.12098780022009133,0.026383479367830743,0.09487561627019292
390,0.047680551187149964,0.06080499748565935,0.24527942111188275,0.2297858140336059,0.1583550783818297,0.0158409142936489,0.12099268534361841,0.02638350230452844,0.0948770358580766
395,0.04767819829403099,0.06080350337559046,0.2452807054573671,0.22978288097247018,0.15835452880994572,0.015840790974057287,0.1209974478128558,0.02638352464655287,0.09487841965712975
400,0.04767590382757909,0.06080204632345542,0.24528195822050053,0.2297800204156561,0.1583539928787184,0.015840670725717577,0.12100209218826204,0.02638354641671098,0.09487976900339978
405,0.047673665641914435,0.06080062496978482,0.24528318054996062,0.22977722971219441,0.1583534700873853,0.015840553435499158,0.12100662280109013,0.026383567636629857,0.09488108516554128
410,0.04767148169054705,0.060799238017999725,0.24528437354180466,0.2297745063332866,0.15835295995836426,0.01584043899553089,0.12101104378228916,0.026383588326903514,0.09488236935327429
415,0.047669350026555604,0.06079788423452765,0.24528553823924945,0.2297718478726444,0.15835246203729764,0.01584032730320164,0.12101535906209916,0.0263836085070964,0.0948836227173281
420,0.04766726878822782,0.06079656243971209,0.2452866756403906,0.22976925202872572,0.15835197588970532,0.015840218260408694,0.12101957239903277,0.0263836281958878,0.0948848463579091
425,0.047665236213706816,0.060795271517130274,0.24528778669009035,0.2297667166231254,0.15835150110440577,0.015840111774319154,0.1210236873501617,0.026383647410936937,0.09488604131612342
430,0.047663250612115265,0.060794010395259,0.24528887229565302,0.2297642395646518,0.15835103728676814,0.015840007755855253,0.12102770732954274,0.02638366616916322,0.09488720859099183
435,0.04766131037818073,0.060792778056784305,0.24528993331874085,0.22976181886767244,0.15835058406213703,0.015839906120458623,0.12103163557854066,0.026383684486615284,0.09488834913087019
440,0.04765941397057076,0.060791573524854634,0.24529097058713178,0.2297594526251941,0.15835014107077508,0.01583980678694935,0.12103547520963856,0.026383702378675912,0.0948894638462098
445,0.04765755991925877,0.06079039586776339,0.24529198489060874,0.22975713901811426,0.1583497079695744,0.015839709677914572,0.12103922919150452,0.02638371986000061,0.0948905536052608
450,0.04765574682561738,0.060789244199024234,0.24529297698084365,0.229754876315432,0.15834928443209276,0.015839614719706258,0.12104290034873873,0.026383736944519186,0.09489161923402577
455,0.04765397334798661,0.06078811766821148,0.24529394757920925,0.2297526628563044,0.158348870145172,0.015839521841688457,0.12104649139107655,0.02638375364557693,0.0948926615247743
460,0.04765223819449005,0.060787015456407224,0.24529489738066423,0.22975049704114886,0.15834846480727122,0.015839430975852827,0.12105000492788945,0.026383769976001854,0.09489368124027421
465,0.04765054014489294,0.060785936790094225,0.2452958270417195,0.22974837735898893,0.15834806813356958,0.015839342057968265,0.12105344342389117,0.026383785947909518,0.09489467910096584
470,0.04764887802162962,0.06078488092275833,0.2452967371962495,0.22974630235134455,0.15834767984919795,0.015839255026057455,0.12105680925778692,0.02638380157297032,0.09489565580200558
475,0.047647250689858506,0.06078384713492888,0.245297628455412,0.22974427061235275,0.15834729968925462,0.015839169820400623,0.12106010472212955,0.026383816862417586,0.09489661201324559
480,0.047645657064782077,0.06078283473883884,0.24529850140359596,0.2297422807979573,0.15834692740051748,0.015839086383915988,0.12106333200846761,0.026383831826978888,0.094897548374946
485,0.04764409612624873,0.06078184308770483,0.24529935659037144,0.22974033164417867,0.15834656274484968,0.01583900466292508,0.12106649317776573,0.026383846476742273,0.09489846548921362
490,0.04764256686065757,0.06078087153882375,0.24530019456228364,0.22973842189463628,0.15834620548564005,0.015838924604106953,0.1210695902780132,0.026383860821701407,0.09489936395413723
495,0.04764106832641628,0.06077991949517316,0.24530101582694727,0.22973655038230495,0.15834585540308385,0.015838846157927786,0.12107262521165091,0.026383874871148627,0.09490024432534722
500,0.047639599603114896,0.060778986373108405,0.24530182088086458,0.22973471596608983,0.15834551228231825,0.01583876927597472,0.12107559983849463,0.026383888634146983,0.09490110714588779
