M,X_{cj},X_{rj},Y_{cj},Y_{rj},T,U,V,W
275,1.002853730503036e-15,8.078543940163344e-16,0.49999999999999956,0.4999999999999986,2.3592347216964465e-31,2.393965068475129e-18,3.9483773450030605e-34,3.2644978206479038e-18
280,2.3395571887829203e-17,6.73188326722605e-17,0.5,0.5,0.0,1.8984510997688046e-19,0.0,1.8984510997688046e-19
285,1.4503892858778713e-15,1.971622935490231e-15,0.49999999999991884,0.5000000000000749,0.0,1.3370776229186625e-15,0.0,1.3370776229186625e-15
290,1.0198049666328841e-15,5.665583147960469e-16,0.4999999999999193,0.5000000000000782,0.0,4.985713170205212e-16,0.0,4.985713170205212e-16
295,8.74500980146975e-17,4.784689547766932e-16,0.49999999999999967,0.49999999999999967,0.0,4.7484328275019045e-18,0.0,4.7484328275019045e-18
300,3.393244590303407e-16,6.879032608005885e-16,0.49999999999999956,0.49999999999999956,0.0,2.4527254675628226e-18,0.0,2.4527254675628226e-18
305,2.889887163287677e-16,5.359417597803784e-19,0.49999999999999983,0.49999999999999983,0.0,6.3886954036471335e-18,0.0,6.3886954036471335e-18
310,4.0792198665315616e-16,1.5863632814289407e-16,0.4999999999999992,0.49999999999999983,0.0,2.2662332591842013e-16,0.0,2.2662332591842013e-16
315,4.2397380363042e-16,8.20044026008289e-16,0.4999999999999994,0.4999999999999994,0.0,4.463521357129826e-18,0.0,4.463521357129826e-18
320,9.518179688573611e-16,7.025323103470999e-16,0.49999999999990963,0.5000000000000859,0.0,1.4730516184697253e-15,0.0,1.4730516184697253e-15
325,6.355012309192526e-16,7.013856350962112e-16,0.4999999999999994,0.4999999999999994,0.0,6.524306072255244e-18,0.0,4.070946525102772e-18
330,6.68161474425531e-16,3.340807372127655e-16,0.49999999999999906,0.5,6.217170530088396e-32,7.17751583855551e-18,9.224608586824998e-35,5.437511998905689e-18
335,2.7838794957139e-17,1.94871564699973e-16,0.49999999999990813,0.5000000000000916,2.758888183850995e-29,5.8722458112715066e-18,4.116293892913649e-32,8.047151667297992e-18
340,1.5469941576600278e-16,1.0419098101097235e-16,0.49999999999999983,0.49999999999999983,0.0,2.495188354677483e-18,0.0,4.194111496348756e-20
345,5.355262681671826e-16,2.3593377678224433e-16,0.4999999999999996,0.4999999999999996,0.0,2.2241200131061908e-18,0.0,4.370714418584201e-18
350,8.357392060244954e-17,1.0820178008069207e-15,0.4999999999999994,0.4999999999999994,0.0,8.500550816975124e-18,0.0,6.35397805390464e-18
355,2.3122189151047136e-16,5.9258454809494e-16,0.4999999999999996,0.4999999999999996,0.0,5.6494542331409026e-18,0.0,5.6494542331409026e-18
360,1.3147332896023549e-16,6.795357413696953e-16,0.4999999999999996,0.4999999999999996,0.0,5.478356021062854e-18,0.0,3.025040929266081e-18
365,2.3341528716937776e-16,2.5798682829524497e-16,0.4999999999999998,0.4999999999999998,0.0,3.235623139091807e-18,0.0,3.235623139091807e-18
370,1.3597399555105187e-16,4.985713170205235e-16,0.499999999999999,0.4999999999999998,0.0,3.3993498887762963e-16,0.0,3.3993498887762963e-16
375,1.0877919644084067e-15,1.2237659599594576e-15,0.49999999999999806,0.4999999999999987,0.0,4.079219866531525e-16,0.0,4.079219866531525e-16
380,1.168813888807243e-15,1.224471693036159e-15,0.4999999999999985,0.4999999999999991,5.177799606368163e-32,1.739306382153635e-18,8.921523597361057e-35,4.348265955384088e-19
385,5.892206473878897e-16,3.6259732146947057e-16,0.4999999999998933,0.5000000000001052,0.0,3.8525965406131255e-16,0.0,3.8525965406131255e-16
390,4.733754179566668e-17,1.0212096319389246e-16,0.49999999999999994,0.49999999999999994,0.0,1.2959250907865377e-18,0.0,6.82542796882972e-19
395,5.843482519364344e-16,1.3078270400482106e-15,0.5000000000001078,0.4999999999998903,5.527400117720385e-30,5.000003643801337e-18,6.994868349236348e-33,4.1304377927054524e-18
