M,X,Y_{cj},Y_{rj},Z,T,U,V,W
205,0.0670103092797116,0.22229381443327323,0.2222938144332734,0.1778350515466185,0.022229381443327298,0.1330541237102342,0.02222938144332735,0.13305412371023426
210,0.06700220195295851,0.22229212540686635,0.2222921254068662,0.17783370032549303,0.022229212540686577,0.13306071091322139,0.022229212540686653,0.1330607109132214
215,0.06699446834730027,0.2222905142390212,0.2222905142390209,0.17783241139121655,0.022229051423902038,0.1330669944678185,0.022229051423902055,0.13306699446781856
220,0.06698708320499427,0.2222889756677078,0.22228897566770667,0.17783118053416577,0.02222889756677067,0.13307299489594204,0.022228897566770715,0.13307299489594204
225,0.06698002349865596,0.2222875048955535,0.22228750489555316,0.17783000391644266,0.02222875048955535,0.13307873090734204,0.022228750489555377,0.13307873090734204
230,0.06697326818142349,0.2222860975377971,0.22228609753779627,0.17782887803023745,0.022228609753779646,0.13308421960259317,0.022228609753779677,0.13308421960259326
235,0.06696679797069009,0.2222847495772269,0.22228474957722766,0.1778277996617818,0.02222847495772254,0.1330894766488142,0.022228474957722653,0.13308947664881418
240,0.06696059520762339,0.2222834573349217,0.222283457334921,0.1778267658679374,0.022228345733492277,0.13309451639380598,0.022228345733492232,0.1330945163938061
245,0.06695464363179596,0.22228221742329088,0.2222822174232906,0.17782577393863255,0.022228221742329097,0.13309935204916587,0.02222822174232911,0.13309935204916587
250,0.06694892828790681,0.22228102672664712,0.22228102672664757,0.17782482138131786,0.02222810267266471,0.13310399576607554,0.02222810267266471,0.13310399576607554
255,0.06694343538987767,0.2222798823728913,0.22227988237289084,0.1778239058983128,0.022227988237289154,0.13310845874572447,0.022227988237289154,0.13310845874572447
260,0.06693815219834441,0.22227878170798795,0.22227878170798873,0.17782302536639075,0.022227878170798875,0.13311275133884526,0.022227878170798875,0.13311275133884526
265,0.06693306693267002,0.2222777222776387,0.22227772227763962,0.17782217782211154,0.02222777222776395,0.13311688311720607,0.022227772227763974,0.1331168831172061
270,0.06692816866853168,0.22227670180594403,0.22227670180594403,0.17782136144475522,0.022227670180594395,0.13312086295681808,0.022227670180594395,0.13312086295681808
275,0.06692344727718057,0.22227571818274627,0.222275718182746,0.17782057454619682,0.0222275718182746,0.1331246990872906,0.0222275718182746,0.1331246990872906
280,0.06691889335740742,0.22227476944945984,0.22227476944945962,0.1778198155595679,0.022227476944945982,0.13312839914710667,0.022227476944945968,0.13312839914710667
285,0.06691449813917079,0.22227385377899345,0.22227385377899417,0.1778190830231951,0.022227385377899447,0.1331319702619239,0.022227385377899464,0.13313197026192392
290,0.06691025348519226,0.22227296947608222,0.2222729694760814,0.17781837558086516,0.02222729694760817,0.13313541904328138,0.02222729694760817,0.13313541904328138
295,0.06690615177309159,0.22227211495272775,0.22227211495272697,0.17781769196218186,0.022227211495272764,0.13313875168436304,0.022227211495272764,0.13313875168436304
300,0.06690218591066469,0.222271288731388,0.22227128873138863,0.17781703098511073,0.02222712887313882,0.13314197394758512,0.022227128873138838,0.13314197394758512
305,0.06689834925978477,0.22227048942912264,0.22227048942912164,0.17781639154329734,0.022227048942912213,0.13314509122642462,0.0222270489429122,0.13314509122642457
310,0.06689463560929668,0.2222697157519376,0.22226971575193663,0.17781577260154946,0.022226971575193603,0.1331481085674462,0.022226971575193686,0.1331481085674462
315,0.06689103912673158,0.2222689664847358,0.22226896648473543,0.17781517318778867,0.022226896648473587,0.13315103070953066,0.022226896648473594,0.13315103070953066
320,0.06688755435908006,0.22226824049147492,0.222268240491475,0.1778145923931802,0.022226824049147685,0.13315386208324717,0.022226824049147685,0.13315386208324706
325,0.06688417618432926,0.22226753670506874,0.22226753670506852,0.17781402936405505,0.02222675367050692,0.13315660685023226,0.022226753670506902,0.1331566068502323
330,0.06688089977694277,0.2222668541201966,0.22226685412019673,0.17781348329615723,0.0222266854120196,0.1331592689312338,0.0222266854120196,0.13315926893123378
335,0.06687772061544393,0.22226619179488422,0.22226619179488402,0.17781295343590753,0.022226619179488427,0.13316185199995179,0.022226619179488434,0.13316185199995179
340,0.06687463443373148,0.22226554884036082,0.22226554884036068,0.17781243907228844,0.02222655488403604,0.13316435952259326,0.02222655488403604,0.13316435952259326
345,0.06687163720041947,0.22226492441675447,0.2222649244167541,0.17781193953340335,0.022226492441675478,0.13316679477465884,0.022226492441675478,0.13316679477465884
350,0.0668687251403513,0.22226431773757307,0.22226431773757313,0.17781145419005867,0.02222643177375726,0.13316916082346464,0.02222643177375731,0.1331691608234646
355,0.06686589465760566,0.22226372805366815,0.22226372805366737,0.17781098244293425,0.022226372805366802,0.1331714605906955,0.022226372805366792,0.1331714605906955
360,0.06686314238505937,0.2222631546635535,0.22226315466355506,0.17781052373084344,0.022226315466355413,0.13317369681213895,0.02222631546635533,0.13317369681213886
365,0.06686046511435138,0.22226259689882347,0.2222625968988232,0.17781007751905847,0.02222625968988233,0.13317587209458948,0.022226259689882365,0.1331758720945894
370,0.06685785983132105,0.2222620541315253,0.2222620541315254,0.17780964330522017,0.02222620541315247,0.13317798888705157,0.022226205413152483,0.13317798888705157
375,0.06685532366700843,0.22226152576396005,0.2222615257639601,0.17780922061116786,0.02222615257639605,0.13318004952055576,0.022226152576396044,0.13318004952055582
380,0.06685285389786988,0.2222610112287233,0.22226101122872266,0.17780880898297816,0.022226101122872276,0.13318205620798068,0.022226101122872276,0.13318205620798068
385,0.06685044796710217,0.22226050999314548,0.22226050999314637,0.17780840799451708,0.02222605099931466,0.13318401102672978,0.02222605099931466,0.13318401102672978
390,0.06684810342147635,0.22226002154614108,0.22226002154614075,0.17780801723691275,0.02222600215461409,0.1331859159700505,0.022226002154614073,0.1331859159700505
395,0.06684581793966035,0.22225954540409656,0.22225954540409643,0.1778076363232765,0.022225954540409525,0.1331877729240255,0.0222259545404096,0.1331877729240255
400,0.06684358931829491,0.22225908110797785,0.2222590811079777,0.17780726488638246,0.022225908110797873,0.1331895836788857,0.02222590811079785,0.1331895836788857
405,0.06684141546509469,0.22225862822189496,0.22225862822189488,0.17780690257751558,0.0222258628221895,0.13319134993461035,0.022225862822189482,0.13319134993461035
410,0.06683929438489192,0.22225818633018551,0.22225818633018607,0.17780654906414864,0.0222258186330186,0.13319307331227534,0.02222581863301862,0.13319307331227537
415,0.06683722417975275,0.2222577550374482,0.22225775503744868,0.1778062040299587,0.022225775503744848,0.13319475535395106,0.022225775503744848,0.13319475535395106
420,0.06683520303499643,0.222257333965624,0.22225733396562417,0.1778058671724994,0.02222573339656245,0.1331963975340655,0.02222573339656245,0.1331963975340655
425,0.06683322923338866,0.22225692275695608,0.22225692275695616,0.17780553820556472,0.022225692275695572,0.1331980012478717,0.022225692275695597,0.13319800124787168
430,0.06683130112704504,0.2222565210681348,0.22225652106813373,0.17780521685450693,0.022225652106813387,0.1331995678342764,0.022225652106813373,0.13319956783427628
435,0.06682941715161429,0.2222561285732523,0.22225612857325322,0.17780490285860256,0.02222561285732535,0.1332010985643134,0.022225612857325334,0.1332010985643135
440,0.06682757580521093,0.22225574495941866,0.22225574495941872,0.17780459596753434,0.022225574495941685,0.13320259465826695,0.02222557449594165,0.13320259465826695
445,0.06682577565553265,0.22225536992823625,0.22225536992823525,0.17780429594258856,0.022225536992823553,0.13320405727988002,0.022225536992823553,0.13320405727988005
450,0.06682401533992972,0.22225500319581842,0.22225500319581873,0.177804002556655,0.022225500319581894,0.13320548753630712,0.022225500319581894,0.13320548753630712
455,0.06682229355136668,0.2222546444898684,0.22225464448986806,0.17780371559189442,0.022225464448986747,0.1332068864895145,0.022225464448986747,0.1332068864895146
460,0.06682060903142716,0.22225429354821374,0.22225429354821394,0.17780343483857122,0.022225429354821333,0.1332082551619655,0.022225429354821313,0.13320825516196558
465,0.06681896059151997,0.22225395012323212,0.22225395012323368,0.17780316009858707,0.022225395012323335,0.13320959451939027,0.02222539501232335,0.1332095945193905
470,0.06681734708472302,0.22225361397598375,0.22225361397598414,0.1778028911807869,0.02222536139759824,0.13321090549366288,0.022225361397598276,0.13321090549366288
475,0.06681576740582132,0.22225328487621274,0.22225328487621274,0.1778026279009702,0.02222532848762124,0.13321218898277026,0.022225328487621328,0.13321218898277026
480,0.06681422049840965,0.2222529626038355,0.2222529626038354,0.17780237008306837,0.02222529626038357,0.1332134458450419,0.02222529626038357,0.1332134458450419
485,0.0668127053690311,0.22225264695188224,0.2222526469518815,0.17780211756150535,0.02222526469518812,0.13321467688766175,0.02222526469518815,0.13321467688766184
490,0.06681122103078826,0.22225233771474778,0.22225233771474728,0.1778018701717983,0.022225233771474874,0.13321588291248435,0.022225233771474874,0.13321588291248432
495,0.06680976656685961,0.2222520347014291,0.2222520347014289,0.1778016277611432,0.022225203470142944,0.13321706466442662,0.022225203470142972,0.13321706466442668
500,0.06680834108115216,0.22225173772524043,0.2222517377252405,0.17780139018019286,0.022225173772523983,0.13321822287156304,0.02222517377252389,0.13321822287156315
