M,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,U,W
375,0.05571890620608374,0.05571890620608408,0.22228756248243337,0.2222875624824336,0.2222875624824335,0.1108497500702659,0.1108497500702659
380,0.05571677306734613,0.05571677306734619,0.2222867092269384,0.22228670922693847,0.2222867092269382,0.11085316309224627,0.11085316309224627
385,0.05571469492997789,0.055714694929977424,0.2222858779719911,0.2222858779719907,0.2222858779719911,0.11085648811203587,0.11085648811203584
390,0.0557126696854415,0.055712669685441675,0.22228506787417646,0.22228506787417684,0.2222850678741767,0.1108597285032934,0.1108597285032934
395,0.05571069533834633,0.055710695338346654,0.22228427813533835,0.2222842781353384,0.2222842781353389,0.11086288745864571,0.11086288745864571
400,0.055708769994484535,0.05570876999448449,0.2222835079977933,0.22228350799779345,0.22228350799779364,0.11086596800882534,0.11086596800882534
405,0.05570689185492931,0.05570689185493034,0.22228275674197215,0.22228275674197223,0.22228275674197204,0.110868973032112,0.11086897303211198
410,0.05570505920403829,0.05570505920403872,0.22228202368161565,0.22228202368161584,0.22228202368161518,0.11087190527353821,0.11087190527353821
415,0.0557032704095938,0.055703270409593934,0.22228130816383768,0.22228130816383782,0.22228130816383718,0.1108747673446498,0.11087476734464977
420,0.055701523910775874,0.05570152391077595,0.22228060956431045,0.22228060956431064,0.22228060956431037,0.11087756174275838,0.11087756174275838
425,0.055699818230463986,0.05569981823046402,0.22227992729218551,0.2222799272921858,0.22227992729218587,0.11088029083125735,0.11088029083125735
430,0.05569815195100169,0.05569815195100196,0.22227926078040122,0.22227926078040094,0.22227926078040056,0.11088295687839682,0.11088295687839682
435,0.05569652372648372,0.05569652372648358,0.22227860949059333,0.22227860949059347,0.2222786094905937,0.1108855620376261,0.11088556203762617
440,0.0556949322645825,0.055694932264581734,0.2222779729058327,0.2222779729058329,0.2222779729058327,0.11088810837666865,0.11088810837666872
445,0.05569337633273188,0.05569337633273089,0.2222773505330923,0.2222773505330924,0.22227735053309314,0.11089059786762975,0.11089059786762975
450,0.055691854758213984,0.05569185475821388,0.2222767419032853,0.2222767419032852,0.2222767419032854,0.11089303238685806,0.11089303238685803
